,Key,Value,id
2802366,pre_3_end_13,1.415,10123
2802367,pre_3_end_12,0.728057,10123
2802368,pre_3_end_11,0.971808,10123
2802369,pre_3_end_10,2.26126,10123
2802370,pre_3_end_9,1.44882,10123
2802371,pre_3_end_8,0.971808,10123
2802372,pre_3_end_7,2.26126,10123
2802373,pre_3_end_6,1.44882,10123
2802374,pre_3_end_5,0.971808,10123
2802375,pre_3_end_4,2.26126,10123
2802376,pre_3_end_3,2.00879,10123
2802377,pre_4_end_14,2.23525,10123
2802378,pre_4_end_13,1.415,10123
2802379,pre_4_end_12,0.728057,10123
2802380,pre_4_end_11,0.971808,10123
2802381,pre_4_end_10,2.26126,10123
2802382,pre_4_end_9,1.44882,10123
2802383,pre_4_end_8,0.971808,10123
2802384,pre_4_end_7,2.26126,10123
2802385,pre_4_end_6,1.44882,10123
2802386,pre_4_end_5,0.971808,10123
2802387,pre_4_end_4,2.26126,10123
2802388,pre_5_end_14,2.23525,10123
2802389,pre_5_end_13,1.415,10123
2802390,pre_5_end_12,0.728057,10123
2802391,pre_5_end_11,0.971808,10123
2802392,pre_5_end_10,2.26126,10123
2802393,pre_5_end_9,1.44882,10123
2802394,pre_5_end_8,0.971808,10123
2802395,pre_5_end_7,2.26126,10123
2802396,pre_5_end_6,1.44882,10123
2802397,pre_5_end_5,0.971808,10123
2802398,pre_6_end_14,2.23525,10123
2802399,pre_6_end_13,1.415,10123
2802400,pre_6_end_12,0.728057,10123
2802401,pre_6_end_11,0.971808,10123
2802402,pre_6_end_10,2.26126,10123
2802403,pre_6_end_9,1.44882,10123
2802404,pre_6_end_8,0.971808,10123
2802405,pre_6_end_7,2.26126,10123
2802406,pre_6_end_6,1.44882,10123
2802407,pre_7_end_14,2.23525,10123
2802408,pre_7_end_13,1.415,10123
2802409,pre_7_end_12,0.728057,10123
2802410,pre_7_end_11,0.971808,10123
2802411,pre_7_end_10,2.26126,10123
2802412,pre_7_end_9,1.44882,10123
2802413,pre_7_end_8,0.971808,10123
2802414,pre_7_end_7,2.26126,10123
2802415,pre_8_end_14,2.23525,10123
2802416,pre_8_end_13,1.415,10123
2802417,pre_8_end_12,0.728057,10123
2802418,pre_8_end_11,0.971808,10123
2802419,pre_8_end_10,2.26126,10123
2802420,pre_8_end_9,1.44882,10123
2802421,pre_8_end_8,0.971808,10123
2802422,pre_9_end_14,2.23525,10123
2802423,pre_9_end_13,1.415,10123
2802424,pre_9_end_12,0.728057,10123
2802425,pre_9_end_11,0.971808,10123
2802426,pre_9_end_10,2.26126,10123
2802427,pre_9_end_9,1.44882,10123
2802428,pre_10_end_14,2.23525,10123
2802429,pre_10_end_13,1.415,10123
2802430,pre_10_end_12,0.728057,10123
2802431,pre_10_end_11,0.971808,10123
2802432,pre_10_end_10,2.26126,10123
2802433,pre_11_end_14,2.23525,10123
2802434,pre_11_end_13,1.415,10123
